"分類: NDC","棚番号-段","タイトル","編著者","発行者","発行年","言語","注記：原著名／仮訳、ISBN等","貴重書","タグ"
"","","","","","","","","",""
"175.8","01-1","神宮御杣山の変遷に関する研究","木村 政生 著","国書刊行会","2001.3","","","",""
"462.136","01-1","明治神宮境内総合調査報告書　(別冊 (20枚) : 付表・付図)","明治神宮境内総合調査委員会 編","明治神宮社務所","1980.11","","別冊 (表28・図2枚(明治神宮境内現存植生図・潜在植生図) )","",""
"175.9361","01-1","明治神宮叢書  第13巻(造営編 2) : 明治神宮造営誌 明治神宮御境内林苑計画","明治神宮 編","明治神宮社務所 出版、発行:国書刊行会","2004.7","","折り込11枚","",""
"175.9361","01-1","明治神宮叢書  第14巻(造営編 3) : 明治神宮外苑志 明治神宮外苑造営奉賛佳話　","明治神宮 編","明治神宮社務所 出版、発行:国書刊行会","2003.7","","折り込18枚","",""
"175.962","01-1","石清水八幡宮史料叢書 第1 (男山考古録) ","**","石清水八幡宮社務所(京都)","1960","","","",""
"175.962","01-1"," 石清水八幡宮史料叢書 2 (縁起・託宣・告文) ","**","石清水八幡宮社務所(京都)","1976","","","",""
"175.962","01-1"," 石清水八幡宮史料叢書 3 (臨放記) ","**","石清水八幡宮社務所(京都)","1972","","","",""
"175.962","01-1"," 石清水八幡宮史料叢書 4 (年中神事・服忌・社参) ","**","石清水八幡宮社務所(京都)","1973","","","",""
"175.962","01-1"," 石清水八幡宮史料叢書 5 (造営・遷宮・回禄) ","**","石清水八幡宮社務所(京都)","1975","","","",""
"175.962","01-1","続石清水八幡宮史料叢書 1 (田中家文書目録 1) ","石清水八幡宮 (京都府八幡市)","石清水八幡宮社務所(京都)","1985","","","",""
"175.962","01-1","続石清水八幡宮史料叢書 2 (田中家文書目録 2) ","石清水八幡宮 (京都府八幡市)","石清水八幡宮社務所(京都)","1996","","","",""
"175.962","01-1","続石清水八幡宮史料叢書 3 (菊大路家文書目録) ","石清水八幡宮 (京都府八幡市)","石清水八幡宮社務所(京都)","1988","","","",""
"188.85","01-1","増補 妙心寺史","川上孤山 著、荻須純道 補述","思文閣(京都)","1975","","『妙心寺史』 (768p) は初版 (大正年間) の複製","",""
"188.45","01-1","日光山輪王寺史","日光山史編纂室 編","日光山輪王寺門跡教化部 ","1967.1","","校訂増補再版","",""
"","","","","","","","","",""
"","","","","","","","","",""
"629.21","01-2","中世庭園文化史 : 大乗院庭園の研究　　(奈良国立文化財研究所学報  第6冊)","森 蘊 著","奈良国立文化財研究所","1959.2","","","",""
"629.21","01-2","室町時代庭園史","外山 英策 著","思文閣(京都)","1973","","外山 英策, 1888-1953
岩波書店昭和9年刊の複製 ","",""
"629.21","01-2","日本庭園史圖鑑  ４　室町時代 2","重森 三玲 著","有光社","1938(昭和13.12)","","","",""
"629.21","01-2","日本庭園史圖鑑  ５　桃山時代 1 ","重森 三玲 著","有光社","1938(昭和13.1)","","","",""
"629.21","01-2","日本庭園史 : 昭和初期ころの回想","吉永 義信 著","小学館","1985.7","","吉永 義信, 1895-1985","",""
"629.21","01-2","日本庭園史新論","大山 平四郎 著","平凡社","1987.3","","大山 平四郎, 1917-","",""
"629","01-2","にわ　ー日本庭園史考","江幡 潤 著","祥文社","1976.2","","","",""
